name,address,rating,reviews,website,lat,lng,category,no_website,version,city,rating_norm,reviews_log,reviews_norm,opportunity_score,opportunity_level
Le Bistro des Augustins,"39 Quai des Grands Augustins, 75006 Paris, France",4.5,2488.0,https://lebistrodesaugustins.shop/,48.8546972,2.3420468,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9,7.819636302367592,0.7172514634547207,0.10482456096358378,LOW
Tigermilk,"77 Rue d'Aboukir, 75002 Paris, France",4.7,10120.0,https://tigermilkrestaurants.com/fr/restaurants/sentier-iie/,48.8679134,2.3473008,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,9.222367752188902,0.8459161668135803,0.058225149955925905,LOW
Epicure,"112 Rue du Faubourg Saint-Honoré, 75008 Paris, France",4.7,1727.0,https://www.oetkerhotels.com/hotels/le-bristol-paris/restaurants-bars/epicure/?utm_source=google&utm_medium=organic&utm_campaign=google_local_epicure,48.8717373,2.3148528,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,7.454719949364001,0.6837797292065257,0.10686608123804225,LOW
La Poule Noire,"61 Rue Sainte, 13001 Marseille, France",4.7,1440.0,http://www.restaurant-lapoulenoire.com/,43.2919232,5.3732203,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9400000000000001,7.273092595999522,0.6671200688378413,0.11186397934864761,LOW
Alivetu - Table Méditerranéenne,"145 Rue Sainte, 13007 Marseille, France",4.9,874.0,https://alivetu-restaurant.fr/,43.29073,5.3670703,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9800000000000001,6.774223886357614,0.6213616347845734,0.11759150956462795,LOW
"La Pagaille Restaurant, Lounge & Cocktail","37 Rue Caisserie, 13002 Marseille, France",4.8,748.0,https://la-pagaille.fr/,43.2970037,5.366064199999999,"bar, establishment, food, night_club, point_of_interest, restaurant",False,V1,Marseille,0.96,6.618738983517219,0.6070998750562313,0.1258700374831306,LOW
Le Bouchon Provençal,"6 Pl. aux Huiles, 13001 Marseille, France",4.6,2208.0,http://www.lebouchonprovencal.com/,43.2930343,5.3714979,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9199999999999999,7.700295203420117,0.7063049725233644,0.10410850824299069,LOW
Ciel | Rooftop | Marseille,"17 Rue Haxo, 13001 Marseille, France",4.4,6672.0,https://www.ciel-rooftop.com/,43.2938075,5.3774274,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.8800000000000001,8.805824812903607,0.8077090148129624,0.08168729555611125,LOW
1860 Le Palais,"9 La Canebière Vieux Port, 13001 Marseille, France",4.5,1828.0,https://www.1860lepalais.fr/,43.2960548,5.3751573,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9,7.511524648390866,0.6889901062538302,0.11330296812385093,LOW
Bistrot l’Horloge,"11 Cr Honoré d'Estienne d'Orves, 13001 Marseille, France",4.6,2580.0,https://www.instagram.com/bistrotlhorloge?igsh=MTZ3M3pkajRnazVmZg%3D%3D&utm_source=qr,43.2928013,5.3744795,"bar, establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9199999999999999,7.855932199718614,0.7205806829331944,0.09982579512004168,LOW
Aux Antipodes,"26 Rue Sainte, 13001 Marseille, France",4.8,1262.0,https://www.facebook.com/auxantipodesmarseille/,43.2925722,5.3753665,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.96,7.141245122350491,0.6550264381661767,0.111492068550147,LOW
La cigale vieux port,"92 Quai du Port, 13002 Marseille, France",4.4,2396.0,https://instagram.com/lacigale_marseille?igshid=YmMyMTA2M2Y=,43.2961168,5.3685814,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.8800000000000001,7.781973234434385,0.7137968410722054,0.10986094767833834,LOW
Acuda - Restaurant Marseille,"34 Pl. aux Huiles, 13001 Marseille, France",4.8,447.0,https://acudamarseille.com/,43.2923632,5.3716772,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.96,6.104793232414985,0.5599585083915436,0.1400124474825369,LOW
Le Panier Marseillais,"1A Rue du Petit Puits, 13002 Marseille, France",4.5,4378.0,https://www.lepanierdemarseille.com/,43.29997909999999,5.3686834,"establishment, food, point_of_interest, restaurant, shopping_mall, store, tourist_attraction",False,V1,Marseille,0.9,8.384575666801398,0.7690701888065176,0.08927894335804473,LOW
Wood la cantine gourmande,"8 Rue de la Guirlande, 13002 Marseille, France",4.7,1088.0,https://woodlacantinegourmande.com/,43.2967907,5.3704969,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9400000000000001,6.9930151229329605,0.6414301301156442,0.11957096096530673,LOW
COIN COIN - Restaurant Marseille,"44 Rue Sainte, 13001 Marseille, France",4.6,940.0,https://www.coincoin-marseille.fr/,43.2923109,5.3737945,"bar, cafe, establishment, food, point_of_interest, restaurant, store",False,V1,Marseille,0.9199999999999999,6.846943139585379,0.6280317647985687,0.12759047056042938,LOW
Ourea,"72 Rue de la Paix Marcel Paul, 13006 Marseille, France",4.9,791.0,http://www.ourea-restaurant.com/,43.2905868,5.3733714,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9800000000000001,6.674561391814426,0.6122201520737974,0.12033395437786074,LOW
Chez Nous,"22 Pl. Notre Dame du Mont, 13006 Marseille, France",4.8,822.0,https://chez-nous-marseille.com/fr,43.291782,5.3841738,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.96,6.71295620067707,0.6157418929554619,0.12327743211336144,LOW
Le Caribou Marseille,"38 Pl. Thiars, 13001 Marseille, France",4.5,2280.0,http://www.lecaribou13001.fr/,43.2933121,5.3727171,"bar, establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.9,7.732369222284388,0.7092469427224525,0.10722591718326424,LOW
Ekume,"139 Rue Sainte, 13007 Marseille, France",4.8,646.0,http://www.ekume-restaurant.fr/,43.29080159999999,5.3674697,"establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.96,6.472346294500901,0.5936720932034827,0.1298983720389552,LOW
Chez Fonfon,"140 Rue du Vallon des Auffes, 13007 Marseille, France",4.2,3585.0,http://www.chez-fonfon.com/,43.28561879999999,5.3513021,"bar, establishment, food, point_of_interest, restaurant",False,V1,Marseille,0.8400000000000001,8.184792654165078,0.7507452114487589,0.1067764365653723,LOW
Restaurant l'Inattendu,"35 Rue de la Paix Marcel Paul, 13001 Marseille, France",4.5,1253.0,,43.2920521,5.3729239,"establishment, food, point_of_interest, restaurant",True,V1,Marseille,0.9,7.134093721192866,0.6543704801717485,0.6236888559484755,MEDIUM
Le Bistro Du Panier,"58 Rue Caisserie, 13002 Marseille, France",4.8,740.0,,43.2969832,5.366580799999999,"establishment, food, point_of_interest, restaurant",True,V1,Marseille,0.96,6.608000625296087,0.6061149055702622,0.6261655283289214,MEDIUM
Carmelo,"7 Rue Neuve, 69001 Lyon, France",4.8,37005.0,https://www.bigmammagroup.com/fr/restaurants-italiens/carmelo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,45.7653129,4.8349721,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,10.518835340641662,0.9648338810374255,0.018549835688772352,LOW
ART Restaurant Lyon,"3 Rue Sala, 69002 Lyon, France",4.8,1322.0,https://www.art-restaurant.fr/,45.7567929,4.8273723,"bar, establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,7.187657164114956,0.6592835549412119,0.11021493351763642,LOW
L'Osteria Lyon La Part-Dieu,"133 Rue Servient, 69003 Lyon, France",4.8,6737.0,https://losteria.net/fr/restaurants/restaurant/lyon-part-dieu/,45.7615107,4.8542206,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,8.815518423966498,0.8085981554906323,0.06542055335281032,LOW
Chez Grand-Mère,"11 Rue du Bœuf, 69005 Lyon, France",4.4,3577.0,http://www.chezgrandmere.fr/,45.7629204,4.8272185,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.8800000000000001,8.182559264068665,0.7505403550778006,0.0988378934766598,LOW
Agastache Restaurant,"134 Rue Duguesclin, 69006 Lyon, France",4.9,888.0,http://www.agastache-restaurant-lyon.fr/,45.7664172,4.8476368,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9800000000000001,6.790097235513905,0.6228176082431894,0.11715471752704314,LOW
Canaima Restaurant,"24 Rue René Leynaud, 69001 Lyon, France",4.9,845.0,http://restaurantcanaima.fr/,45.7698684,4.8343093,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9800000000000001,6.740519359606223,0.6182701072246325,0.11851896783261022,LOW
Le Bouchon des Cordeliers,"15 Rue Claudia, 69002 Lyon, France",4.7,2847.0,http://www.bouchondescordeliers.com/,45.7643717,4.8377061,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9400000000000001,7.954372272531867,0.7296100397418375,0.09311698807744875,LOW
Le Vieux Lyon,"44 Rue Saint-Jean, 69005 Lyon, France",4.5,3933.0,https://restaurant-le-vieux-lyon.com/fr,45.7623386,4.827478699999999,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9,8.277411998949004,0.7592406654598841,0.09222780036203476,LOW
Garden Bistro - Restaurant Français Rue Mercière,"50 Rue Mercière, 69002 Lyon, France",4.7,2668.0,https://restaurant-garden-bistro.com/,45.7628001,4.8325874,"bar, establishment, food, night_club, point_of_interest, restaurant",False,V1,Lyon,0.9400000000000001,7.889459149404524,0.7236559223430006,0.09490322329709983,LOW
La Table d’Ambre,"46 Rue Franklin, 69002 Lyon, France",4.8,753.0,https://www.latabledambre.fr/,45.751928,4.830551,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,6.625392368007956,0.6077101527697182,0.12568695416908454,LOW
Les Fils À Maman Lyon,"25 Rue de l'Arbre Sec, 69001 Lyon, France",4.3,3645.0,https://www.lesfilsamaman.com/restaurants/lyon/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,45.7668011,4.837248,"bar, establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",False,V1,Lyon,0.86,8.201385955238608,0.7522672220664306,0.10231983338007083,LOW
LE COMPTOIR LIBANAIS - Restaurant Libanais Lyon 6ème,"54 Rue de Sèze, 69006 Lyon, France",4.9,9605.0,https://www.comptoirlibanais-lyon.fr/,45.768244,4.848801799999999,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9800000000000001,9.17014318222477,0.841125899365499,0.05166223019035029,LOW
Copain Comme Canard Lyon Part-Dieu,"22 Rue de la Part-Dieu, 69003 Lyon, France",4.7,1298.0,http://www.copaincommecanard.com/,45.75911929999999,4.8429989,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9400000000000001,7.1693500166706,0.6576043427901084,0.11471869716296748,LOW
Les Infidèles,"57 Rue Mercière, 69002 Lyon, France",4.6,2199.0,https://lesinfideles-restaurant.com/,45.7622073,4.8328894,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9199999999999999,7.696212639346407,0.7059305017752007,0.10422084946743981,LOW
LA GÂCHE,"2 Pl. du Petit Collège, 69005 Lyon, France",4.8,925.0,http://www.lagache-restaurant.fr/,45.7637588,4.8277242,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,6.8308742346461795,0.6265578541027137,0.12003264376918589,LOW
Canopée Lyon - Bistronomie de Partage,"12 Rue Major Martin, 69001 Lyon, France",4.8,365.0,https://www.restaurantcanopeelyon.com/,45.7666115,4.8326521,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,5.902633333401366,0.5414155125522775,0.14557534623431675,LOW
LE F2 Restaurant,"2 Place de l'Hôpital, 28 Rue Louis Paufique, 69002 Lyon, France",4.6,1482.0,https://www.lef2.com/,45.7592145,4.835797400000001,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9199999999999999,7.301822342137932,0.6697552876211263,0.1150734137136621,LOW
Tigermilk Lyon,"18 Rue Pizay, 69001 Lyon, France",4.7,5967.0,https://tigermilkrestaurants.com/fr/restaurants/lyon-viiie/,45.7669618,4.8357101,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9400000000000001,8.694167141883597,0.7974672817133296,0.0727598154860011,LOW
Bouchon Tupin,"30 Rue Tupin, 69002 Lyon, France",4.8,2089.0,http://bouchontupin.com/,45.7628785,4.8349451,"establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.96,7.644919344958857,0.7012256550224502,0.09763230349326496,LOW
L'Alsacien Lyon,"8 Rue Chavanne, 69001 Lyon, France",4.7,1700.0,http://www.lalsacien.com/restaurant-alsacien-flammekueche-lyon/,45.7652476,4.8322511,"bar, establishment, food, point_of_interest, restaurant",False,V1,Lyon,0.9400000000000001,7.438971592395862,0.6823352205816189,0.10729943382551432,LOW
Les Sales Gosses (à TOULOUSE),"81 Rue Pierre-Paul Riquet, 31000 Toulouse, France",4.8,1958.0,https://restaurant.lessalesgosses.fr/,43.606032,1.453933,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,7.580189417944541,0.6952883411775238,0.09941349764674286,LOW
Oh la vache !,"2 Rue d'Austerlitz, 31000 Toulouse, France",4.7,2047.0,,43.6054879,1.4475091,"establishment, food, point_of_interest, restaurant",True,V1,Toulouse,0.9400000000000001,7.6246189861593985,0.6993636167518008,0.6021909149744598,MEDIUM
Au Pois Gourmand restaurant terrasse gastronomique,"3 Rue Emile Heybrard, 31300 Toulouse, France",4.8,6919.0,http://pois-gourmand.fr/,43.609052,1.4096611,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,8.842171048611716,0.8110428515471361,0.06468714453585919,LOW
Fogo,"6 Rue des Puits Clos, 31000 Toulouse, France",4.9,442.0,https://fogo-toulouse.fr/,43.6019429,1.4445828,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9800000000000001,6.093569770045136,0.5589290430176405,0.13632128709470784,LOW
Petit Voyage - Restaurant Toulouse,"18 Rue Emile Cartailhac, 31000 Toulouse, France",4.9,916.0,https://instagram.com/petit.voyage_31,43.6074714,1.4403626,"cafe, establishment, food, meal_takeaway, point_of_interest, restaurant, store",False,V1,Toulouse,0.9800000000000001,6.821107472256465,0.6256620036633376,0.1163013989009987,LOW
Bistroquet Toulouse,"10 Rue Labeda, 31000 Toulouse, France",4.7,7159.0,https://linktr.ee/bistroquettoulouse,43.604626,1.448928,"bar, establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9400000000000001,8.87626525995469,0.8141701226931969,0.06774896319204092,LOW
MAMA RESTAURANT TOULOUSE,"54 Bd Lazare Carnot, 31000 Toulouse, France",4.5,1803.0,https://fr.mamashelter.com/toulouse/restaurants?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,43.6050267,1.4498231,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9,7.4977617006225685,0.6877277081004437,0.11368168756986688,LOW
Hortùs Toulouse,"17 Rue Croix Baragnon, 31000 Toulouse, France",4.9,858.0,https://hortus-toulouse.fr/,43.5995326,1.4466319,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9800000000000001,6.755768921984256,0.6196688642140562,0.11809934073578311,LOW
Restaurant Une Table à Deux,"10 Rue de la Pleau, 31000 Toulouse, France",4.8,865.0,http://www.unetableadeux.fr/,43.59679999999999,1.4470155,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,6.763884908562435,0.6204132982293333,0.12187601053120001,LOW
Gaïa,"24 Rue Croix Baragnon, 31000 Toulouse, France",4.5,3760.0,https://gaia-toulouse.com/,43.599856,1.4479622,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9,8.232440158470336,0.7551156502865044,0.09346530491404867,LOW
L' Atrium - Restaurant Toulouse,"Plaza Hôtel ****, 7 Pl. du Capitole, 31000 Toulouse, France",4.6,863.0,https://www.restaurantatrium.fr/,43.603728,1.442771,"bar, establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9199999999999999,6.761572768804055,0.6202012185927257,0.12993963442218232,LOW
Hope! Restaurant Toulouse,"19 Rue Saint-Bernard, 31000 Toulouse, France",4.9,386.0,https://sites.google.com/view/hope-restaurant-pates-gnocchis/accueil,43.6092033,1.4443374,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9800000000000001,5.958424693029782,0.5465329416492668,0.14004011750521994,LOW
Reflets Toulouse,"27/29 Rue Charles Viguerie, 31300 Toulouse, France",4.9,209.0,https://www.reflets-toulouse.com/,43.60026089999999,1.4351447,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9800000000000001,5.3471075307174685,0.4904602405223952,0.1568619278432814,LOW
Aux Pieds sous la Table,"4, 8 Rue Arnaud Bernard 6, 31000 Toulouse, France",4.6,2690.0,https://auxpiedssouslatable.fr/,43.6096419,1.4392784,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9199999999999999,7.897668150726906,0.724408888080064,0.09867733357598081,LOW
La Cuisine À Mémé,"17 Rue des Couteliers, 31000 Toulouse, France",4.7,927.0,http://www.lacuisineameme.fr/,43.5984948,1.4417373,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9400000000000001,6.833031732786201,0.6267557493293577,0.12397327520119267,LOW
L'Os à Moëlle Toulouse,"14 Rue Roquelaine, 31000 Toulouse, France",4.5,1407.0,https://www.losamoelletoulouse.com/,43.610543,1.445354,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9,7.249925536717988,0.6649950841798474,0.12050147474604578,LOW
BOCA - Tapas españolas,"54 Rue Peyrolières, 31000 Toulouse, France",4.8,1709.0,https://www.boca-toulouse.fr/,43.6020984,1.4411283,"bar, establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,7.444248649496705,0.6828192554883534,0.10315422335349397,LOW
Restaurant Le Restaurant,"28 Rue Peyrolières, 31000 Toulouse, France",4.8,968.0,http://www.lerestaurant-toulouse.fr/,43.6008656,1.4407696,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,6.876264611890766,0.6307212593106496,0.11878362220680512,LOW
Liquides resto à boire - Toulouse,"6 Rue des Gestes 2-4, 31000 Toulouse, France",4.6,1022.0,https://www.privateaser.com/lieu/52482-liquides-resto-a-boire,43.6030488,1.4421999,"bar, establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.9199999999999999,6.930494765951626,0.6356954877606031,0.12529135367181907,LOW
Cécile,"43 Pl. des Carmes, 31000 Toulouse, France",4.8,1531.0,https://cecile-toulouse.fr/,43.5974864,1.444595,"establishment, food, point_of_interest, restaurant",False,V1,Toulouse,0.96,7.3343293503005365,0.6727369735046633,0.106178907948601,LOW
Le Plongeoir,"60 Bd Franck Pilatte, 06300 Nice, France",4.2,3620.0,https://www.leplongeoir.com/,43.6919027,7.290909,"bar, establishment, food, point_of_interest, restaurant",False,V1,Nice,0.8400000000000001,8.19450550976564,0.751636117320138,0.10650916480395858,LOW
La Rotonde Nice,"37 Prom. des Anglais, 06000 Nice, France",4.4,980.0,https://www.lenegresco.com/restaurants/la-rotonde,43.694393,7.2579107,"establishment, food, point_of_interest, restaurant",False,V1,Nice,0.8800000000000001,6.8885724595653635,0.6318501892781354,0.13444494321655936,LOW
Restaurant JAN,"12 Rue Lascaris, 06300 Nice, France",4.8,1116.0,http://www.restaurantjan.com/,43.6998607,7.2848981,"establishment, food, point_of_interest, restaurant",False,V1,Nice,0.96,7.018401799069201,0.6437587078022377,0.11487238765932871,LOW
Plage Beau Rivage Nice,"107 Quai des États-Unis, 06300 Nice, France",4.1,3622.0,https://plagenicebeaurivage.com/,43.6947918,7.2695451,"bar, establishment, food, night_club, point_of_interest, restaurant",False,V1,Nice,0.82,8.195057690895077,0.7516867658040144,0.1104939702587957,LOW
Château Eza,"Rue de la Pise, 06360 Èze, France",4.6,1542.0,http://www.chateaueza.com/,43.72769,7.3611586,"establishment, food, lodging, point_of_interest, restaurant",False,V1,Èze,0.9199999999999999,7.341483852363161,0.673393215927748,0.1139820352216756,LOW
Castel Plage,"8 Quai des États-Unis, 06300 Nice, France",4.3,3308.0,http://www.castelplage.com/,43.6943897,7.278428399999999,"bar, establishment, food, point_of_interest, restaurant",False,V1,Nice,0.86,8.104401307921613,0.7433713632910433,0.10498859101268704,LOW
Boccaccio,"7 Rue Massena, 06000 Nice, France",4.4,4979.0,https://www.boccaccio-nice.com/,43.697682,7.268434999999999,"establishment, food, point_of_interest, restaurant",False,V1,Nice,0.8800000000000001,8.513185170018698,0.7808668185767363,0.08973995442697907,LOW
Mayssa Beach,"9 Pl. Wilson, 06230 Villefranche-sur-Mer, France",4.6,2504.0,https://www.mayssabeach.fr/,43.7025059,7.3122182,"bar, establishment, food, point_of_interest, restaurant",False,V1,Villefranche-sur-Mer,0.9199999999999999,7.826044013518965,0.7178392069280746,0.10064823792157764,LOW
"La Pinède Restaurant, Cap D'Ail","10 Av. Raymond Gramaglia, 06320 Cap-d'Ail, France",4.5,1567.0,http://www.lapinederestaurant.com/,43.7201483,7.394512300000001,"bar, establishment, food, night_club, point_of_interest, restaurant",False,V1,Cap-d'Ail,0.9,7.357556200910353,0.6748674424864868,0.11753976725405396,LOW
La Réserve de Nice,"62 Bd Franck Pilatte, 06300 Nice, France",4.5,1434.0,https://www.lareservedenice.fr/fr/,43.6915351,7.2914292,"establishment, food, point_of_interest, restaurant",False,V1,Nice,0.9,7.268920128193722,0.6667373517236167,0.11997879448291499,LOW
La Cabane Villeneuve-Loubet,"1523 Bd Brigitte Bardot, 06270 Villeneuve-Loubet, France",4.3,1710.0,http://lacabane-restaurant-villeneuve-loubet.fr/,43.6302159,7.1352405,"establishment, food, point_of_interest, restaurant",False,V1,Villeneuve-Loubet,0.86,7.444833273892193,0.6828728798114064,0.12313813605657808,LOW
Le Séjour,"11 Rue Grimaldi, 06000 Nice, France",4.7,860.0,https://www.sejourcafe.fr/,43.6989508,7.2649516,"establishment, food, point_of_interest, restaurant",False,V1,Nice,0.9400000000000001,6.7580945044277305,0.619882176872915,0.1260353469381255,LOW
La Môme,"6 Rue Florian, 06400 Cannes, France",4.4,3267.0,https://lamomecannes.com/,43.5517865,7.0234738,"bar, establishment, food, point_of_interest, restaurant",False,V1,Cannes,0.8800000000000001,8.091933455979893,0.7422277570278429,0.1013316728916471,LOW
La Route du Miam,"1 Rue Molière, 06100 Nice, France",4.8,675.0,,43.7129321,7.2613805,"establishment, food, point_of_interest, restaurant",True,V1,Nice,0.96,6.516193076042964,0.5976939130187217,0.6286918260943835,MEDIUM
